# Stability boundary coordinates (det = 0)
# Columns: C11   C22   C12   x   y
  0.63115766   2.11691984  -0.57975009  -0.31362917  -0.24129656
  0.61715362   2.13092388  -0.56134427  -0.31646527  -0.23954279
  0.61715362   2.13092388  -0.56134427  -0.32010329  -0.23740478
  0.60182500   2.16523678  -0.55053940  -0.32517424  -0.23483233
  0.60182500   2.16523678  -0.55053940  -0.32727529  -0.23396485
  0.60010469   2.18621809  -0.55853355  -0.32975101  -0.23223686
  0.60010469   2.18621809  -0.55853355  -0.33332470  -0.23055944
  0.58478202   2.22108038  -0.54666980  -0.33979147  -0.22704140
  0.58478202   2.22108038  -0.54666980  -0.34061815  -0.22674735
  0.58478202   2.22108038  -0.54666980  -0.34116726  -0.22644430
  0.58298608   2.24269654  -0.55449154  -0.34480599  -0.22518659
  0.56962811   2.25605450  -0.53395887  -0.34848082  -0.22281771
  0.56962811   2.25605450  -0.53395887  -0.34921728  -0.22259580
  0.56962811   2.25605450  -0.53395887  -0.35026613  -0.22180358
  0.56770071   2.27808470  -0.54154436  -0.35342288  -0.22078687
  0.56770071   2.27808470  -0.54154436  -0.35527442  -0.21976064
  0.55261362   2.31355915  -0.52773507  -0.36137062  -0.21659721
  0.55261362   2.31355915  -0.52773507  -0.36223498  -0.21628152
  0.55261362   2.31355915  -0.52773507  -0.36336315  -0.21572597
  0.53775056   2.34909619  -0.51305731  -0.36848235  -0.21370666
  0.53775056   2.34909619  -0.51305731  -0.37012578  -0.21333364
  0.53562737   2.37218206  -0.52019769  -0.37299859  -0.21130109
  0.53562737   2.37218206  -0.52019769  -0.37492842  -0.21068368
  0.53355774   2.39550515  -0.52739009  -0.37830436  -0.20996316
  0.52089533   2.40816756  -0.50438401  -0.38077770  -0.20848881
  0.51870510   2.43190415  -0.51131310  -0.38546688  -0.20603634
  0.51870510   2.43190415  -0.51131310  -0.38654724  -0.20580076
  0.51870510   2.43190415  -0.51131310  -0.38695545  -0.20560557
  0.51870510   2.43190415  -0.51131310  -0.38808904  -0.20509035
  0.51656674   2.45588394  -0.51829332  -0.39194340  -0.20474405
  0.51448004   2.48010932  -0.52532537  -0.39233621  -0.20970807
  0.52957834   2.44287234  -0.54193383  -0.38913356  -0.21426202
  0.52957834   2.44287234  -0.54193383  -0.38570690  -0.21850026
  0.54316619   2.42928450  -0.56524790  -0.37982128  -0.22648081
  0.54316619   2.42928450  -0.56524790  -0.37935838  -0.22709210
  0.54316619   2.42928450  -0.56524790  -0.37919764  -0.22728232
  0.55732209   2.41512859  -0.58822149  -0.37404996  -0.23441650
  0.55732209   2.41512859  -0.58822149  -0.37273882  -0.23603425
  0.57203754   2.40041314  -0.61084076  -0.36850871  -0.24207336
  0.57203754   2.40041314  -0.61084076  -0.36636163  -0.24479501
  0.57203754   2.40041314  -0.61084076  -0.36333656  -0.24875609
  0.58730366   2.38514702  -0.63309208  -0.36002628  -0.25355912
  0.60311126   2.36933943  -0.65496204  -0.35650299  -0.25871594
  0.60311126   2.36933943  -0.65496204  -0.35371936  -0.26233615
  0.61945081   2.35299988  -0.67643749  -0.34986169  -0.26799861
